id,audio_harmonic,audio_engergy,audio_centroid,audio_contrast_low,audio_contrast_middle,audio_contrast_high,audio_zero_crossing_rate,audio_slience_rate
1-1065435-000010-000020,0.014983000578703705,0.08635962754487991,1504.554170867241,14.195504277212954,13.654618342505888,48.625404654635744,0.1690263176843318,0.33
1-1065435-000227-000237,0.011763961226851851,0.011395491659641266,963.3029875583102,15.610532973505459,13.434766465149671,42.3750684073629,0.10113497263824885,0.98
1-1732361-000001-000011,0.012523509837962963,0.06050186604261398,2130.181553559601,15.804692555928655,17.84169927730454,35.01910149485104,0.30129878312211983,0.11
1-1732361-000021-000031,0.012378833912037037,0.06944587826728821,2169.1558851356144,17.754720814087104,16.535294484301964,33.61841320109976,0.3116921983006912,0.06
1-188189-000039-000049,0.011474609375,0.0628003180027008,1262.8977182438744,20.018089177543427,11.923357295995494,37.06641229909123,0.13967768937211983,0.52
1-188189-000112-000122,0.011990017361111112,0.10294746607542038,1389.7943994877178,19.62537614481743,12.53620259307046,37.10095403445338,0.17136421730990783,0.07
1-188189-000137-000147,0.012830946180555556,0.10552020370960236,1704.3339320371522,17.787934431284665,10.9025857020091,38.37289323390757,0.21070573516705068,0.17
1-188189-000201-000211,0.011574074074074073,0.14496535062789917,1662.1198500301432,16.323022520199196,11.094208673899269,38.58961866803849,0.20144189228110598,0.02
1-2285643-000045-000055,0.01341869212962963,0.11886157095432281,984.8501333037265,23.265964053575313,16.549780442358404,41.20987123622875,0.07926132272465437,0.0
1-2384563-000050-000100,0.012586805555555556,0.007576481904834509,771.3767747687617,18.335788628361982,12.111960195351944,46.336108055242285,0.0892879644297235,0.99
1-2520183-000014-000024,0.012288411458333334,0.07590802013874054,1251.3117822628058,13.576950052519848,13.115999724953666,38.7682964244545,0.14954232070852536,0.25
1-2660693-000058-000108,0.013798466435185185,0.02043481543660164,1702.3000601497881,19.12582301467542,12.371112194515506,39.598235445404356,0.2010233654953917,0.65
1-294113-000000-000010,0.014069733796296295,0.08160863071680069,1491.86025780575,13.556122890594196,10.771282357939382,43.891551753352665,0.20115387384792627,0.11
1-294113-000011-000021,0.011944806134259259,0.2827049791812897,1699.7355977457078,15.358978191460622,13.484459637184147,33.320429352805256,0.19437193980414746,0.0
1-294113-000033-000043,0.01246021412037037,0.3600788712501526,1384.9875926797972,20.479098197612515,15.446730969025946,39.459706781353624,0.13804408482142858,0.0
1-294113-000045-000055,0.011908637152777778,0.3022122383117676,1396.0021438272772,17.24627385395905,11.927693599987666,37.30205963094378,0.13848061275921658,0.0
1-3045957-000149-000159,0.012017144097222222,0.2753799259662628,1662.166007847876,20.962240337689106,12.554120124668113,34.708703953309914,0.18353524625576037,0.0
1-3138116-000024-000034,0.01341869212962963,0.06707657873630524,1264.4884932320508,19.68125279356117,16.01741131242755,41.75387926610045,0.15320780529953917,0.03
1-3201662-000035-000045,0.01314742476851852,0.3536660075187683,1260.8996365802745,23.74637101283539,17.011062316281148,35.69071155198367,0.09547361031105991,0.0
1-3545880-000004-000014,0.011366102430555556,0.017216812819242477,1525.9148370592857,17.25603044231728,14.26577769396272,35.735268359774224,0.17235878096198157,0.79
1-4269607-000002-000012,0.019558376736111112,0.09661830216646194,1591.229894983226,17.224528148568954,15.99468490210737,38.10251011803676,0.18382326468894009,0.18
10-1166727-000316-000340,0.012647192028985507,0.09385601431131363,1471.5491825858178,13.084109742765332,14.137459086593452,39.943586644003,0.1778163836269305,0.16666666666666666
10-1571634-000010-000016,0.012987012987012988,0.06246059015393257,1019.6584563167296,17.4234570765842,16.042079422151698,46.00550585745096,0.1048114483173077,0.13333333333333333
10-1745126-000025-000033,0.012581168831168832,0.028646737337112427,1446.2509012402536,17.958740116709652,17.33154994871183,40.63229707626275,0.13560187679597702,0.2125
10-1987320-000015-000020,0.012863413932066782,0.09585043042898178,1404.4989429288219,20.912443439380624,18.766488434475985,45.01321930355829,0.17070133314220184,0.0
10-2041535-000001-000009,0.014035443722943722,0.15436522662639618,1702.2389071432697,16.178731206417627,14.298519648875974,37.72681161702208,0.1904858117816092,0.15
10-2041535-000044-000052,0.01231060606060606,0.19741374254226685,1310.9133840226812,20.004823745020175,14.609099201794788,34.36902511363207,0.10578865840517242,0.0
10-2147587-000128-000140,0.012578332128223669,0.020412974059581757,565.0389715547138,18.801940046156297,18.400965635075792,49.78718179488828,0.07148813100961539,0.6833333333333333
10-2147587-000153-000200,0.010584469227591905,0.05391088128089905,668.5511358391914,22.930537250256055,13.12313781093936,46.50348414759022,0.07430869654605263,0.014285714285714285
10-2147587-000234-000259,0.01549284555671417,0.03002803958952427,721.3991816546056,19.269069276787082,16.725196517063846,51.73324227441974,0.08348072193287037,0.444
10-2384563-000033-000100,0.011879361245303274,0.011821969412267208,1476.8656117501193,19.415666899434072,11.423767536238701,36.87484918254081,0.1704294194897084,0.9851851851851852
10-2530557-000111-000116,0.011298215313759356,0.2137143760919571,1680.7301249838663,18.094494101477604,12.172046518677302,32.32259026269325,0.16818377293577982,0.0
10-2530557-000116-000124,0.012254238816738816,0.1952718049287796,1520.163862748665,19.954708241919825,13.229086649793521,30.1159988653602,0.10443325700431035,0.0
10-2530557-000130-000149,0.012755296448712086,0.132185697555542,1433.0545763229582,16.61449488177565,15.506638693531613,35.624464875590654,0.15235681835462286,0.0
10-2670029-000107-000156,0.010862487420825195,0.0806681290268898,1391.8084562802308,17.294817576981508,12.293322722965039,34.06916107725294,0.14483596339370264,0.0
10-2670029-000210-000221,0.012509850275807723,0.06335965543985367,1185.1139258825415,16.092700873671664,10.494086351572363,31.791163541527094,0.11706645548844538,0.5
10-2830981-000009-000025,0.012096226927252986,0.04843668267130852,947.2892677056045,17.50582969741057,21.170596185471414,42.77269442384377,0.06596877257947976,0.075
10-2958806-000045-000056,0.012813567113212503,0.18705089390277863,1634.645288637581,22.103501617419855,19.946985026214065,34.771676056153204,0.13669413077731093,0.0
10-3061678-000201-000236,0.012040144171016655,0.0031494046561419964,1310.5117879566217,23.023393135308492,14.892886527451898,38.38096456963195,0.16122723509933776,0.9971428571428571
10-3254533-000001-000023,0.012304996050552923,0.018213393166661263,750.9630110455123,16.54009651742386,14.950290109517136,47.73528622787457,0.09165810032894736,0.7636363636363637
10-3288200-000029-000034,0.013726971790443293,0.0480048730969429,1321.0682726901864,16.38644590415901,13.50909590150904,37.0733549273735,0.11546731651376146,0.48
10-3389074-000007-000025,0.01374316610387522,0.0490594208240509,649.3155035310235,17.85912741594768,16.268214922275625,46.04765914380159,0.053550269119537273,0.08888888888888889
10-3389074-000235-000245,0.010868778935185185,0.009657799266278744,1547.0708491816347,12.413236165084774,12.085534821034027,33.03284080427361,0.1717692432315668,0.95
10-3545880-000011-000031,0.01449550919889903,0.05448973923921585,721.5103410447327,20.404703762627687,16.84759411138004,44.92680064309821,0.06443504050925926,0.15
10-4290449-000045-000053,0.01065340909090909,0.034475840628147125,2725.4646979312433,13.765316350619448,10.600745217675202,28.364278887096496,0.4645210353807471,0.425
